ParcelID,Hem,Surface area (mm2),Centroid (MNI),Community,labels,x,y,z
170,R,259.3776,59.7 -41 -10.9,FrontoParietal,R_FrontoParietal,59.7,-41,-10.9
273,R,356.9694,41.8 29.1 21.6,FrontoParietal,R_FrontoParietal,41.8,29.1,21.6
167,R,154.2867,47.9 -42.5 41.5,FrontoParietal,R_FrontoParietal,47.9,-42.5,41.5
24,L,281.9111,-5.5 29.3 44,FrontoParietal,L_FrontoParietal,-5.5,29.3,44
78,L,388.3207,-40.3 50.4 -4.8,FrontoParietal,L_FrontoParietal,-40.3,50.4,-4.8
148,L,193.79,-21.3 63.1 1.9,FrontoParietal,L_FrontoParietal,-21.3,63.1,1.9
149,L,106.1582,-28.6 50.9 10.1,FrontoParietal,L_FrontoParietal,-28.6,50.9,10.1
96,L,194.9111,-34.1 -61 42.4,FrontoParietal,L_FrontoParietal,-34.1,-61,42.4
109,L,275.3985,-40.2 23.6 23.3,FrontoParietal,L_FrontoParietal,-40.2,23.6,23.3
108,L,86.8292,-43 19.4 33.5,FrontoParietal,L_FrontoParietal,-43,19.4,33.5
7,L,91.3224,-38.1 48.8 10.5,FrontoParietal,L_FrontoParietal,-38.1,48.8,10.5
9,L,95.001,-112.9,FrontoParietal,L_FrontoParietal,-55.9,-47.7,-9.3
73,L,435.4788,-33.6 17.2 -31.5,None,L_None,-33.6,17.2,-31.5
284,R,288.0256,21.6 51.1 -14.1,None,R_None,21.6,51.1,-14.1
120,L,348.1822,-22.5 32.1 -13.6,None,L_None,-22.5,32.1,-13.6
125,L,87.1769,-2.5 33.8 -26.2,None,L_None,-2.5,33.8,-26.2
282,R,75.7862,25.4 8.9 -15.7,None,R_None,25.4,8.9,-15.7
121,L,122.3215,-23.8 52.2 -12.8,None,L_None,-23.8,52.2,-12.8
281,R,218.6388,35.1 37.3 -8.4,None,R_None,35.1,37.3,-8.4
280,R,237.0121,2.9 18.7 -23.2,None,R_None,2.9,18.7,-23.2
122,L,235.9842,-17.3 46.6 -17.9,None,L_None,-17.3,46.6,-17.9
123,L,212.1556,-13.3 24 -16.4,None,L_None,-13.3,24,-16.4
285,R,38.5266,11.9 25.7 -24.8,None,R_None,11.9,25.7,-24.8
283,R,296.9905,21.2 30.3 -15.2,None,R_None,21.2,30.3,-15.2
118,L,45.3309,-31.8 2.6 -16.8,None,L_None,-31.8,2.6,-16.8
287,R,288.3102,10.9 39.1 -19.7,None,R_None,10.9,39.1,-19.7
119,L,111.1368,-34.7 35.6 -9.6,None,L_None,-34.7,35.6,-9.6
124,L,110.5932,-8.9 45.5 -20.8,None,L_None,-8.9,45.5,-20.8
305,R,72.6422,31.6 -9.4 -35.5,None,R_None,31.6,-9.4,-35.5
304,R,162.0045,39.5 -11.9 -29.7,None,R_None,39.5,-11.9,-29.7
115,L,109.5577,-23.4 61 -6.8,None,L_None,-23.4,61,-6.8
303,R,183.4216,31.1 2.2 -46.1,None,R_None,31.1,2.2,-46.1
302,R,71.2382,56.4 -27 -19.4,None,R_None,56.4,-27,-19.4
301,R,282.8087,54.5 -9.6 -37,None,R_None,54.5,-9.6,-37
300,R,162.123,36.8 7.7 -37.9,None,R_None,36.8,7.7,-37.9
297,R,96.6098,28 -0.4 -37.3,None,R_None,28,-0.4,-37.3
296,R,181.8441,20.1 -21.4 -21.5,None,R_None,20.1,-21.4,-21.5
292,R,799.9802,45.2 13.6 -30.1,None,R_None,45.2,13.6,-30.1
291,R,160.0829,54.7 -7.8 -26.9,None,R_None,54.7,-7.8,-26.9
286,R,93.8852,13.5 20.3 -15.2,None,R_None,13.5,20.3,-15.2
288,R,108.7804,2.2 39 -25.6,None,R_None,2.2,39,-25.6
289,R,76.9437,62.3 -26.4 -16,None,R_None,62.3,-26.4,-16
179,R,92.6377,19.4 -29.9 -9.7,None,R_None,19.4,-29.9,-9.7
18,L,128.3953,-73.2,None,L_None,-29,-35.9,-8.3
19,L,60.4231,-58.8,None,L_None,-18.5,-39.2,-1.1
11,L,124.8179,-29.3 5.3 -27.4,None,L_None,-29.3,5.3,-27.4
178,R,94.8293,24.9 -35.9 -4.8,None,R_None,24.9,-35.9,-4.8
128,L,500.0096,-95.4,None,L_None,-53.2,-13,-29.2
314,R,65.8617,30.4 -18.8 -19.4,None,R_None,30.4,-18.8,-19.4
142,L,221.3314,-56.8,None,L_None,-20.5,-12.6,-23.7
135,L,175.8343,-78.5,None,L_None,-38.6,-13,-26.9
134,L,142.4904,-81.1,None,L_None,-32,-3.9,-45.2
172,R,252.9815,32.5 13.6 -30.5,None,R_None,32.5,13.6,-30.5
312,R,218.2529,19.5 -10.8 -24.9,None,R_None,19.5,-10.8,-24.9
133,L,155.4423,-110.9,None,L_None,-55.1,-39.6,-16.2
129,L,538.0861,-44.6 9 -37,None,L_None,-44.6,9,-37
144,L,205.0984,-61.3,None,L_None,-22,-21.9,-17.4
159,L,241.8987,-50.8 6.9 -20.1,None,L_None,-50.8,6.9,-20.1
306,R,106.2751,43.4 -24.1 -20.8,None,R_None,43.4,-24.1,-20.8
130,L,375.565,-82.4,RetrosplenialTemporal,L_RetrosplenialTemporal,-33.8,-33.2,-15.4
143,L,155.9617,-74.6,RetrosplenialTemporal,L_RetrosplenialTemporal,-22.5,-37.1,-15
313,R,109.9835,24.5 -36.2 -13.2,RetrosplenialTemporal,R_RetrosplenialTemporal,24.5,-36.2,-13.2
295,R,196.8379,34.6 -23.9 -20.4,RetrosplenialTemporal,R_RetrosplenialTemporal,34.6,-23.9,-20.4
294,R,86.3581,34.6 -35.6 -12.3,RetrosplenialTemporal,R_RetrosplenialTemporal,34.6,-35.6,-12.3
174,R,514.0554,13.8 -54.1 10.9,RetrosplenialTemporal,R_RetrosplenialTemporal,13.8,-54.1,10.9
14,L,246.5023,-8.8 -49.8 4.2,RetrosplenialTemporal,L_RetrosplenialTemporal,-8.8,-49.8,4.2
13,L,266.8921,-14.4 -57.8 18.4,RetrosplenialTemporal,L_RetrosplenialTemporal,-14.4,-57.8,18.4
36,L,349.3319,-5 -28.2 60.4,SMhand,L_SMhand,-5,-28.2,60.4
46,L,110.8519,-20.5 -24.9 64.5,SMhand,L_SMhand,-20.5,-24.9,64.5
45,L,387.8621,-36.8 -22.8 61.9,SMhand,L_SMhand,-36.8,-22.8,61.9
270,R,163.128,53 -22.7 39.1,SMhand,R_SMhand,53,-22.7,39.1
31,L,344.0583,-15.6 -33.1 66.1,SMhand,L_SMhand,-15.6,-33.1,66.1
35,L,240.9275,-10.8 -41.1 64.9,SMhand,L_SMhand,-10.8,-41.1,64.9
33,L,60.4678,-6.6 -20.4 74.2,SMhand,L_SMhand,-6.6,-20.4,74.2
58,L,228.0456,-47.2 -31.4 54.8,SMhand,L_SMhand,-47.2,-31.4,54.8
57,L,205.5869,-27.5 -37.2 61.4,SMhand,L_SMhand,-27.5,-37.2,61.4
32,L,116.2446,-10.9 -29.3 69.5,SMhand,L_SMhand,-10.9,-29.3,69.5
30,L,49.1552,-10.7 -47.5 60.3,SMhand,L_SMhand,-10.7,-47.5,60.3
56,L,319.1362,-35.2 -35.3 42,SMhand,L_SMhand,-35.2,-35.3,42
